Ativo,Data,Maxima dia,Minima dia,Valor abertura,Valor fechamento,Volume,Valor de mercado
ETH,2021-01-12T23:59:59Z,1149.24028662,1012.7641325,1088.52668638,1043.43458391,37494601691.59652,119187795979.95865
ETH,2021-01-13T23:59:59Z,1134.3384897,994.54904335,1043.7409646200001,1130.73940242,30109792795.20572,129175741557.3657
ETH,2021-01-14T23:59:59Z,1244.16302773,1093.06074128,1130.23114623,1218.45297846,33410915928.964794,139212433451.90207
ETH,2021-01-15T23:59:59Z,1250.50582834,1090.72110691,1221.8771498,1171.83461074,35972039309.63758,133902070140.85231
ETH,2021-01-16T23:59:59Z,1290.0535966,1157.62382501,1171.44306049,1233.53756838,32319240157.30916,140969419371.64862
ETH,2021-01-17T23:59:59Z,1265.64469299,1174.38858189,1233.45335847,1230.17227237,29258032819.26144,140601384429.81976
ETH,2021-01-18T23:59:59Z,1259.45012357,1187.31105291,1230.31328543,1257.27950247,25817455559.908936,143716601983.39554
ETH,2021-01-19T23:59:59Z,1432.30004202,1254.52299253,1257.43454274,1377.29584154,47195935190.07628,157454089944.8793
ETH,2021-01-20T23:59:59Z,1405.74408751,1243.29997404,1375.24846709,1382.27409433,46784030909.22983,158042129137.30182
ETH,2021-01-21T23:59:59Z,1382.68441742,1098.47618804,1382.68441742,1121.57091957,45932464754.20649,128249677791.2402
ETH,2021-01-22T23:59:59Z,1271.68757004,1046.59657946,1118.88906201,1236.51220729,43918338506.41113,141409699225.45984
ETH,2021-01-23T23:59:59Z,1272.15107388,1200.8933153,1235.26789471,1230.99063605,27253895441.493607,140794949837.6558
ETH,2021-01-24T23:59:59Z,1395.11130107,1225.27404483,1231.21059279,1391.60940757,36418163553.77491,159184556292.11795
ETH,2021-01-25T23:59:59Z,1467.78494205,1304.97404441,1390.63987263,1324.414778,43565777745.18664,151516304275.35352
ETH,2021-01-26T23:59:59Z,1376.08510047,1253.34032479,1323.7416513,1357.0581398,41572917750.45789,155269118236.95306
ETH,2021-01-27T23:59:59Z,1368.07405925,1215.31125838,1358.33333163,1253.18713315,39394416989.543015,143401382572.9306
ETH,2021-01-28T23:59:59Z,1356.28872771,1226.17394719,1251.27984357,1332.49224455,34637234789.36,152494242714.12
ETH,2021-01-29T23:59:59Z,1428.98120793,1292.24007773,1369.08676789,1382.52281244,53611955258.83,158238360146.48
ETH,2021-01-30T23:59:59Z,1402.39976757,1328.52908193,1382.23193922,1376.11553895,30616574234.27,157523498333.17
ETH,2021-01-31T23:59:59Z,1378.9160735,1288.50155974,1376.82361688,1314.9862286,25198853580.84,150543956657.31
ETH,2021-02-01T23:59:59Z,1373.84580379,1274.35775467,1314.85528255,1369.04046855,29210670919.95,156750867717.37
ETH,2021-02-02T23:59:59Z,1542.99094561,1362.7712342,1369.50509478,1515.19376962,45437142800.95,173505318778.83
ETH,2021-02-03T23:59:59Z,1660.909542,1510.01027358,1514.76962317,1660.909542,41874566399.41,190213812447.49
ETH,2021-02-04T23:59:59Z,1689.18668328,1561.85349322,1661.17021172,1594.76269414,44396871835.92,182660183410.38
ETH,2021-02-05T23:59:59Z,1756.51103181,1594.79333006,1594.79333006,1718.65087218,40108628453.57,196873128686.52
ETH,2021-02-06T23:59:59Z,1738.31443822,1649.06872914,1717.79754616,1677.84684697,39873420647.74,192221649234.01
ETH,2021-02-07T23:59:59Z,1690.03665184,1501.75027529,1677.60566475,1614.22782334,39889440150.91,184955254624.65
ETH,2021-02-08T23:59:59Z,1770.59078017,1571.57989969,1613.64226828,1746.61684904,48012285955.92,200147673570.58
ETH,2021-02-09T23:59:59Z,1815.96356989,1711.62055635,1746.92613167,1768.03501655,44180727528.56,202625894958.75
